time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Volume
1670198400,17108.9,17424.59,16865.22,16966.05,17085.286666666667,17085.286666666667,17085.286666666667,33618.45109026
1670284800,16966.05,17111.35,16904.04,17089.05,17062.947594608126,17088.017363054354,17037.877826161897,26693.6101171
1670371200,17089.18,17140.22,16679.52,16840,17014.8188179621,17096.2372545175,16933.4003814067,22635.46848793
1670457600,16839.76,17300.59,16738,17226.01,17031.036738447317,17109.08139950958,16952.992077385054,23533.23453743
1670544000,17226.03,17352.62,17060.69,17130.59,17055.766880963165,17146.281945171297,16965.251816755033,20976.81070044
1670630400,17130.49,17227.64,17093.42,17128.1,17061.22458630415,17151.778611331876,16970.670561276424,7860.58687575
1670716800,17128.1,17271.92,17073.19,17085.21,17066.8552454116,17156.68653910443,16977.02395171877,9948.85267032
1670803200,17085.62,17244.63,16875.83,17211.66,17110.70666666667,17110.70666666667,17110.70666666667,20659.65709227
1670889600,17212.9,17999.99,17089.17,17773.18,17442.097217823644,17685.43604675918,17198.75838888811,38316.03172467
1670976000,17772.98,18385.36,17660.93,17804.97,17673.53463004301,17983.914413161994,17363.154846924026,49295.42072146
1671062400,17805.36,17856.26,17275.02,17357.96,17627.668307927044,17905.893525930944,17349.443089923145,37834.73808374
1671148800,17359.1,17525,16529.53,16632.64,17449.062260232993,17845.735771941054,17052.388748524932,47159.86300655
1671235200,16634.29,16799.99,16585.64,16782.25,17385.767300105075,17816.59592550368,16954.93867470647,18446.6836015
1671321600,16782.23,16875,16663.76,16741.16,17354.662578879746,17796.120558172996,16913.204599586497,11073.43886205
1671408000,16742.33,16822.84,16273.4,16439.74,16511.993333333332,16511.993333333332,16511.993333333332,26856.08598724
1671494400,16439.98,17060.86,16398.22,16897.65,16665.49473135752,16801.261976845428,16529.727485869615,34330.28235168
1671580800,16896.17,16926.05,16725.78,16826.56,16700.00796808329,16837.21315480241,16562.802781364167,16743.62189364
1671667200,16825.18,16868.82,16560.84,16815.51,16710.381728964236,16833.601700405285,16587.161757523187,21269.7673979
1671753600,16815.28,16943.29,16719.57,16777.21,16729.04498675999,16847.387219312895,16610.702754207083,21958.88697726
1671840000,16777.88,16863.62,16775.88,16837.12,16736.0629184956,16852.7431425952,16619.382694396,9502.80320659
1671926400,16837.24,16853.88,16720.89,16829.02,16739.407623408602,16853.962271708504,16624.8529751087,7065.21656572
1672012800,16829.19,16939.81,16787.97,16917.96,16881.913333333334,16881.913333333334,16881.913333333334,8493.27661167
1672099200,16916.66,16967,16585.97,16698.73,16793.513642228892,16855.129381886025,16731.89790257176,17482.09318834
1672185600,16698.31,16777.35,16460,16539.66,16698.288587734663,16808.237406999062,16588.339768470265,23345.55126307
1672272000,16539.66,16654.81,16479.5,16627.54,16666.16144637156,16771.632518798393,16560.690373944726,20088.46487471
1672358400,16627.36,16649.99,16326.16,16600.1,16627.23904627899,16736.833665591425,16517.64442696656,26532.28003447
1672444800,16599.98,16634.42,16462.49,16530.35,16615.497933191407,16721.35808475563,16509.637781627185,15414.5294044
1672531200,16531.83,16621,16490,16611.58,16611.886639144028,16713.684042362882,16510.089235925174,10668.73697739
1672617600,16611.9,16789.99,16542.52,16666.95,16666.486666666668,16666.486666666668,16666.486666666668,13560.46017964
1672704000,16666.86,16772.3,16600,16669.47,16674.454920852917,16681.44676396891,16667.463077736924,17612.35527749
1672790400,16668.95,16988,16645.87,16844.42,16743.303831599093,16818.98003030141,16667.627632896776,25922.70680625
1672876800,16844.4,16872.13,16750.07,16825.69,16758.35583312062,16831.892384656312,16684.819281584925,14918.22913349
1672963200,16825.53,17027.11,16670.82,16948.06,16789.48840743501,16872.71107888865,16706.265735981367,24235.38704157
1673049600,16948,16977.76,16903.58,16942.37,16797.944743211,16885.988925865156,16709.90056055684,5680.11799379
1673136000,16942.37,17167.52,16910.41,17125.18,16820.26699849888,16932.66656788256,16707.8674291152,9195.45985397
1673222400,17125.17,17396.25,17102.97,17177.98,17225.733333333334,17225.733333333334,17225.733333333334,33252.15435855
1673308800,17177.94,17494.37,17145.1,17443.5,17283.6505822425,17350.578052752186,17216.723111732812,24901.57485784
1673395200,17443.5,17998,17315.08,17944.27,17433.23548421381,17658.623381001576,17207.84758742604,27251.01602186
1673481600,17944.15,19115.85,17904.83,18847.75,17933.29520199117,18545.049794330003,17321.54060965234,61938.44269045
1673568000,18847.77,20000,18714.8,19934.88,18373.00013270558,19261.784360102625,17484.215905308534,55049.6223488
